order_number,order_date,fulfillment,quantity,product.product_name,product.product_price
387005,22/01/2016,In store,3,MGS Age of Empires II Gold Edition2009 E172,32
387005,22/01/2016,In store,2,A. Datum Bridge Digital Camera M300 Pink,186.9
387005,22/01/2016,In store,1,WWI Desktop PC1.80 E1801 Silver,269.9
395005,30/01/2016,In store,5,Contoso DVD 60 DVD Storage Binder L20 Black,22.89
395005,30/01/2016,In store,5,SV DVD 38 DVD Storage Binder E25 Silver,9.99
423011,27/02/2016,In store,1,Contoso 16GB Mp5 Player M1600 Blue,199.9
600006,22/08/2016,Online,1,Contoso Water Heater 2.6GPM E0900 Green,508
600006,22/08/2016,Online,1,The Phone Company Pen Touch Screen Phones-2.6 M320 Black,290
600006,22/08/2016,Online,6,Contoso USB Wave Multi-media Keyboard E280 Black,15.9
600006,22/08/2016,Online,7,SV 16xDVD M320 Black,119
652002,13/10/2016,In store,8,Contoso Genuine Leather Grip Belt E322 Black,77.99
666011,27/10/2016,In store,7,WWI Wireless Transmitter and Bluetooth Headphones X250 Silver,249.99
666011,27/10/2016,In store,1,Adventure Works Desktop PC3.0 MS300 Silver,469
666011,27/10/2016,In store,2,SV 16xDVD M310 Black,129
701003,01/12/2016,In store,1,Adventure Works Coffee Maker 4C E080 Black,129.9
728013,28/12/2016,In store,3,SV DVD 58 DVD Storage Binder M55 Black,13.89
728013,28/12/2016,In store,2,Proseware Wall Lamp E0315 Blue,101.99
728013,28/12/2016,In store,3,Fabrikam Coffee Maker Auto 5C E090 Black,163
744000,13/01/2017,In store,6,WWI Wireless Bluetooth Stereo Headphones M170 Pink,120
744000,13/01/2017,In store,3,Contoso Phone with 13-Number Memory (210) M301 Grey,16.99
744000,13/01/2017,In store,6,SV 8xDVD E100 Black,69
744000,13/01/2017,In store,2,Litware Microwave 1.0CuFt E110 Silver,139.99
755003,24/01/2017,Online,2,Proseware Laptop15.4W M518 Black,758
755003,24/01/2017,Online,2,Contoso Water Heater 1.5GPM E0800 Grey,257.5
755003,24/01/2017,Online,5,Contoso Expandable 2-Handset Cordless Phone System M205 Grey,40.19
786002,24/02/2017,In store,3,WWI 2GB Spy Video Recorder Pen M300 White,181
799005,09/03/2017,In store,1,WWI Desktop PC1.80 E1800 Black,229.9
911003,29/06/2017,In store,3,Fabrikam Microwave 0.8CuFt E0800 Silver,94.99
911003,29/06/2017,In store,3,Contoso Water Heater 2.6GPM E0900 Blue,508
1020007,16/10/2017,In store,3,Contoso DVD 7-Inch Player Portable E200 Silver,109.99
1020007,16/10/2017,In store,2,MGS Hand Games for Office worker L299 Black,16.89
1020007,16/10/2017,In store,1,Adventure Works Laptop15.4W M1548 Black,758
